id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_120;0;GmbH;13353;87100;1962;323.0;GKV;3864033.84;759735.32;15008391.0;89799.8;2983.44;2983.44;;92783.24;92783.24;-1.4e-09;55111454.07;8443591.88;14016.15;0.0;;;;5348013.09;;;;;;51640.48;28101189.79;11116958.92;9146283.79;617816.28;;9548543.85;-7536443.53;-22026.07
C_173;0;Einzelfirma;12165;47730;1908;;GKV;110447820.8;110447820.8;125454998.7;54033808.08;-10293209.88;62152.95;10641194.38;43740598.2;43740598.2;28405998.52;1089218061.0;347515965.3;164735236.8;92222172.0;37432969.2;138192039.3;92222172.0;13968005.91;;;;;;454744489.7;35465651.58;8545183.94;5036615.09;516646.73;;130180923.1;-141977592.3;12567030.8
C_740;0;GmbH;14089;69204;1986;;GKV;728946.68;728946.68;209721.36;45390.5;-6674.16;;6674.16;38716.34;38716.34;36624.55;214860.19;122157.49;92702.7;0.0;42770.5;;;50924.41;;;;;;;64195.98;28659.19;5598.17;;;52632.64;-534.87;-54578.91
C_931;0;GmbH;10969;68200;1991;2.0;GKV;150843501.3;147989371.3;107635928.5;47292997.11;-6693591.13;73961.45;11414398.77;40599405.98;40599405.98;29469951.72;1026294931.0;101671995.1;108761788.0;150123607.3;26577708.38;108614666.7;150123607.3;2949596.57;147121.35;;;;;665737540.8;84799087.11;31428071.92;11542490.91;326731.07;8000.0;40075554.85;-8337054.5;-34594274.52
C_343;0;GmbH;16792;78100;1991;;GKV;284342000.0;284342000.0;42335000.0;-134047000.0;810891000.0;891000.0;15925000.0;676844000.0;676844000.0;634226000.0;3202392000.0;285171000.0;503500.0;0.0;382000.0;;;6790000.0;;;;;;2883814000.0;422909000.0;431255000.0;21696000.0;448000.0;;586177000.0;-733975000.0;-95826000.0
C_590;0;GmbH;13125;86101;1991;283.0;GKV;9811590.89;9681039.95;6110979.73;3785872.48;-3041576.14;158111.31;3199687.45;744296.34;744296.34;1.05e-09;95466637.12;18661041.49;42621000.0;13854918.86;14820000.0;41750000.0;9061442.95;229715.96;;;;;;20329676.77;7366730.2;5421664.66;322573.88;372298.68;;436938.61;-1879055.58;-13729379.17
C_206;0;GmbH;14059;86101;1993;505.0;GKV;26025323.61;26015542.03;22022993.85;2086104.36;207389.42;207389.42;;2293493.78;2293493.78;2285323.24;37399300.99;4582487.49;0.0;0.0;;;;880043.46;;;;;;13733666.5;14504753.93;3441491.02;322075.13;3034766.29;;2862349.65;-667342.46;-2091455.69
C_248;0;GmbH;12681;71122;1999;;GKV;138459.52;138459.52;314703.03;170487.91;-1878.61;21980.74;23859.35;168609.3;168609.3;163542.42;2250866.32;698061.22;0.0;0.0;350566.8;;;689.06;;;;;;1552805.1;496696.93;45009.43;35726.57;;;194753.98;331830.61;-798859.83
C_586;0;GmbH & Co. KG;12529;82999;2003;218.0;GKV;3754118.16;3754118.16;3576638.79;218364.8;-40232.66;4707.11;44939.77;178132.14;185134.73;185134.73;4541952.49;924320.32;435563.19;1745275.83;96145.54;435563.19;1745275.83;10654.66;;;;;;1436744.18;1120396.47;1119498.76;1053844.19;54952.61;;330553.9;-15824.59;-96145.54
C_772;0;GmbH;12557;46320;2003;;GKV;3050059.62;3050059.62;2703635.82;-47014.34;56196.84;56196.84;;9182.5;9182.5;9182.5;3063375.49;3063375.49;0.0;0.0;;;;;;;;;;0.0;323861.47;192001.9;70449.58;;;-87708.11;-7788.16;-105334.41
C_461;0;GmbH;10117;70220;1990;71.0;GKV;553921.37;553921.37;512309.33;86356.8;-12876.99;;12876.99;73479.81;73479.81;55100.24;1085765.94;161713.32;0.0;891248.5;;;688816.48;8397.88;;;;;;32804.12;123350.71;220330.44;80650.31;33879.4;;121372.97;-284636.08;212544.91
C_077;0;GmbH;12049;71121;2004;;GKV;1039685.5;1039685.5;987529.04;-1097089.37;1433163.58;30346.12;148219.72;336074.21;336074.21;219907.14;23935468.29;455224.85;2201003.32;874993.0;;;;50943.96;;;;;;20404247.12;154766.3;181232.03;10499.86;;;752172.36;-617985.25;-142225.0
C_633;0;GmbH;14467;81100;2005;487.0;GKV;298211.68;298211.68;298294.9;28915.11;-26221.62;;26221.62;2693.49;2693.49;2693.49;1233117.4;1233117.4;0.0;0.0;;;;28017.09;;;;;;;354796.8;355890.97;332485.42;;;13657.69;0.0;-811700.0
C_209;0;GmbH;10969;68321;2006;;GKV;13597456.35;13597456.35;7667501.25;-109859.68;-96920.1;11.26;96931.36;-206779.78;-206779.78;-211696.03;2491876.84;2491876.84;0.0;0.0;;;;447268.94;;;;;;0.0;1273354.65;1277275.04;5848.43;136628.62;;83600.84;1560281.1;-1643802.61
C_192;0;GmbH & Co. KG;16356;52291;2003;;GKV;5780193.26;6463030.86;2343817.05;461313.49;-6773.56;1610.04;8383.6;454539.93;454539.93;311018.93;1666103.89;1299885.28;0.0;26450.0;;;;214329.72;;;;;;339768.61;1511210.89;1452375.62;1290319.45;151185.17;272.46;39965.28;-68200.89;-239863.77
C_902;0;GmbH;13587;88101;2006;454.0;GKV;18501197.54;18501197.54;1308849.82;251315.86;-26573.98;82.48;26656.46;224741.88;224741.88;151891.46;2536228.67;900015.25;476097.36;0.0;211794.08;;;646374.67;;;;;;1160116.06;2313610.67;882746.83;92873.22;;;579997.87;0.0;-560042.41
C_430;0;GmbH;12051;46165;2008;;GKV;1344384.99;1344384.99;720460.86;162729.06;;;;162729.06;162729.06;0.0;311205.92;286205.92;0.0;0.0;;;;;;;;;;25000.0;311205.92;184568.57;182326.71;;;158068.74;0.0;-87093.64
C_268;0;GmbH;14482;41000;2008;;GKV;20053814.23;20053814.23;10552042.66;728426.61;-192766.77;0.96;192767.73;535659.84;535659.84;467427.81;12566273.56;11566273.56;0.0;0.0;;;;1292949.86;;;;;;1000000.0;4511767.92;2048205.75;;;;4587743.9;-4176259.9;-411484.0
